# Freq	PowerSpec	Quantum	Seismic	SuspensionThermal	CoatingBrownian	CoatingThermoOptic
1.000000000000000021e-03	7.732902938524099457e-13	4.774287864729298748e-35	7.732902938524099457e-13	4.042210257619704983e-36	6.932080569340439351e-47	9.569848318667244047e-52	3.005242969072382312e-42
1.016265089392995096e-03	7.148641854508554572e-13	4.475902075366918814e-35	7.148641854508554572e-13	3.977611647818939980e-36	6.821134211626768820e-47	9.493411925597248600e-52	2.909816345587218684e-42
1.032794731918951518e-03	6.609597368582993854e-13	4.196164948745632840e-35	6.609597368582993854e-13	3.914047870871614067e-36	6.711963524891938152e-47	9.417589673204856723e-52	2.817419840345574062e-42
1.049593230558227598e-03	6.112163411724203974e-13	3.933910971477696422e-35	6.112163411724203974e-13	3.851502380004904320e-36	6.604540089929666125e-47	9.342376626997375147e-52	2.727957236832784169e-42
1.066664958279538774e-03	5.653031460701849936e-13	3.688047473012506035e-35	5.653031460701849936e-13	3.789958893529106589e-36	6.498835942376565189e-47	9.267767892238481532e-52	2.641335373734440584e-42
1.084014359178331072e-03	5.229165074799198884e-13	3.457550073068576127e-35	5.229165074799198884e-13	3.729401390599348297e-36	6.394823565432434857e-47	9.193758613750203310e-52	2.557464047923391168e-42
1.101645949633656921e-03	4.837776695482172264e-13	3.241458413589550119e-35	4.837776695482172264e-13	3.669814107045274332e-36	6.292475882697155926e-47	9.120343974487598835e-52	2.476255920527310917e-42
1.119564319483878348e-03	4.476306500076352180e-13	3.038872157457689776e-35	4.476306500076352180e-13	3.611181531267506626e-36	6.191766251122190279e-47	9.047519197258587202e-52	2.397626425978892308e-42
1.137774133221491381e-03	4.142403120550879410e-13	2.848947237270931497e-35	4.142403120550879410e-13	3.553488400199890478e-36	6.092668454074840754e-47	8.975279542364250692e-52	2.321493683954000954e-42
1.156280131207375458e-03	3.833906056551215229e-13	2.670892338571662078e-35	3.833906056551215229e-13	3.496719695336457887e-36	5.995156694513630719e-47	8.903620308798273353e-52	2.247778414106145012e-42
1.175087130904807617e-03	3.548829628076840683e-13	2.503965602866835969e-35	3.548829628076840683e-13	3.440860638822000663e-36	5.899205588272781867e-47	8.832536832874766179e-52	2.176403853508335164e-42
1.194200028133532475e-03	3.285348327851315274e-13	2.347471536704352505e-35	3.285348327851315274e-13	3.385896689605366654e-36	5.804790157454271412e-47	8.762024488842154075e-52	2.107295676716524859e-42
1.213623798344240588e-03	3.041783446639354460e-13	2.200758113927901385e-35	3.041783446639354460e-13	3.331813539654484806e-36	5.711885823925607616e-47	8.692078687564707379e-52	2.040381918371250926e-42
1.233363497913775872e-03	2.816590856681944595e-13	2.063214059036565926e-35	2.816590856681944595e-13	3.278597110231747266e-36	5.620468402921652188e-47	8.622694877235690157e-52	1.975592898256949507e-42
1.253424265461399551e-03	2.608349849172864727e-13	1.934266300328669634e-35	2.608349849172864727e-13	3.226233548229594172e-36	5.530514096748879351e-47	8.553868542314819521e-52	1.912861148740908114e-42
1.273811323186478574e-03	2.415752931408403731e-13	1.813377582223626377e-35	2.415752931408403731e-13	3.174709222564307250e-36	5.441999488590394273e-47	8.485595203894684755e-52	1.852121344516256483e-42
1.294529978227915981e-03	2.237596498010210046e-13	1.700044226806299145e-35	2.237596498010210046e-13	3.124010720628073692e-36	5.354901536410065664e-47	8.417870418578107113e-52	1.793310234575870775e-42
1.315585624045703759e-03	2.072772298544463608e-13	1.593794035275008361e-35	2.072772298544463608e-13	3.074124844797582346e-36	5.269197566954276082e-47	8.350689779012308526e-52	1.736366576346330070e-42
1.336983741824946661e-03	1.920259631023666217e-13	1.494184320543027694e-35	1.920259631023666217e-13	3.025038608998875591e-36	5.184865269849606833e-47	8.284048913249575034e-52	1.681231071913325344e-42
1.358729901902709127e-03	1.779118197253706817e-13	1.400800062801285606e-35	1.779118197253706817e-13	2.976739235327101137e-36	5.101882691795062135e-47	8.217943484314117938e-52	1.627846306272177879e-42
1.380829765218092317e-03	1.648481561849798328e-13	1.313252180355073115e-35	1.648481561849798328e-13	2.929214150720512259e-36	5.020228230847170823e-47	8.152369190117480167e-52	1.576156687539041858e-42
1.403289084785873256e-03	1.527551162048789337e-13	1.231175908530988167e-35	1.527551162048789337e-13	2.882450983687908291e-36	4.939880630796612065e-47	8.087321763341789756e-52	1.526108389060677100e-42
1.426113707194128248e-03	1.415590820247690014e-13	1.154229279898746146e-35	1.415590820247690014e-13	2.836437561088419553e-36	4.860818975634826866e-47	8.022796970480802454e-52	1.477649293362379675e-42
1.449309574126216591e-03	1.311921715548498878e-13	1.082091699479007780e-35	1.311921715548498878e-13	2.791161904963033984e-36	4.783022684109144168e-47	7.958790612782123180e-52	1.430728937875768018e-42
1.472882723907501879e-03	1.215917774531896008e-13	1.014462608996717658e-35	1.215917774531896008e-13	2.746612229416968457e-36	4.706471504365144894e-47	7.895298524376502019e-52	1.385298462389920741e-42
1.496839293077255632e-03	1.127001445055081278e-13	9.510602346166675273e-36	1.127001445055081278e-13	2.702776937551946955e-36	4.631145508674661471e-47	7.832316573537220990e-52	1.341310558171078457e-42
1.521185517986104949e-03	1.044639820110452832e-13	8.916204129450472769e-36	1.044639820110452832e-13	2.659644618447832349e-36	4.557025088248262571e-47	7.769840661360811022e-52	1.298719418698005885e-42
1.545927736419476940e-03	9.683410817216815536e-14	8.358954904031300247e-36	9.683410817216815536e-14	2.617204044192643235e-36	4.484090948130683842e-47	7.707866721857274679e-52	1.257480691961649146e-42
